,Lens ID,025-320-084-599-970,060-372-899-346-10X,116-509-832-503-46X,046-376-269-492-795,059-611-580-408-33X,062-055-064-561-85X,066-382-980-653-77X,097-421-372-053-520,179-132-294-510-213,061-018-838-320-648,007-409-477-173-741,045-388-908-940-286,027-396-266-532-738,043-454-317-567-459,078-881-949-441-033,063-359-887-330-154,116-085-787-369-516,036-149-448-029-082,131-292-364-160-556,118-102-398-817-762
58,158-139-147-446-223,0.0,0.0,0.0,0.017751319935889256,0.017867825166819954,0.0003475572048425272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,179-665-467-280-842,0.0,0.0,0.0,0.000291728504626181,0.06548159988142552,0.02919838201346785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,191-464-698-912-126,0.0,0.0,0.0,0.04486997879215941,0.00891465475477414,0.009821581917484393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,013-595-252-334-822,0.0,0.0,0.0,0.0,0.0,0.0,0.025737306174490042,0.029598587201201846,0.008645085157273923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,013-996-415-887-147,0.0,0.0,0.0,0.0,0.0,0.0,0.008925572625796884,0.022626384267827173,0.002341732510128084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,014-498-810-516-367,0.0,0.0,0.0,0.0,0.0,0.0,0.009204539526312144,0.01789128110781181,0.009577087208701074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,028-990-627-361-144,0.0,0.0,0.0,0.0,0.0,0.0,0.04060701553347293,0.025813488947114032,0.06868352978617984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,050-962-085-082-050,0.0,0.0,0.0,0.0,0.0,0.0,0.027332225174590326,0.005137039513573632,0.023918029551294115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,051-455-719-730-276,0.0,0.0,0.0,0.0,0.0,0.0,0.04668279045904472,0.021570478805153993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,056-709-260-660-68X,0.0,0.0,0.0,0.0,0.0,0.0,0.024908683729165885,0.01985681918767704,0.12349613566459348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,064-751-648-054-001,0.0,0.0,0.0,0.0,0.0,0.0,0.04719632386165699,0.08042960906756261,0.0214875158363152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,065-723-239-027-836,0.0,0.0,0.0,0.0,0.0,0.0,0.04809122782803006,0.05279737290153748,0.05181590058248492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,068-842-015-943-027,0.0,0.0,0.0,0.0,0.0,0.0,0.11392089900058441,0.017158876617927046,0.021512165404138764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,072-262-854-270-373,0.0,0.0,0.0,0.0,0.0,0.0,0.02627434383149052,0.05377453995138789,0.009594741103219737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,078-887-084-126-065,0.0,0.0,0.0,0.0,0.0,0.0,0.033955262498523375,0.06387490177367418,0.014232454429162635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,081-472-552-790-009,0.0,0.0,0.0,0.0,0.0,0.0,0.04000621133902796,0.04030606987801613,0.06046047905636659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,086-157-478-708-338,0.0,0.0,0.0,0.0,0.0,0.0,0.01691107748132859,0.013475376760169789,0.05626176144026358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,087-931-774-679-603,0.0,0.0,0.0,0.0,0.0,0.0,0.018946744608112766,0.013273110348039387,0.024508885331090323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,094-882-702-642-495,0.0,0.0,0.0,0.0,0.0,0.0,0.08664072980018861,0.037053914018854245,0.004499126263076787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,098-267-139-915-909,0.0,0.0,0.0,0.0,0.0,0.0,0.046142607683030586,0.03253308083231313,0.0501440351550355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,103-364-820-610-122,0.0,0.0,0.0,0.0,0.0,0.0,0.057338138823911006,0.0026836037135409482,0.018002740503513526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,104-465-453-188-095,0.0,0.0,0.0,0.0,0.0,0.0,0.014499247558614562,0.011890727364620221,0.07746181290635386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,106-258-436-803-499,0.0,0.0,0.0,0.0,0.0,0.0,0.014908056203703097,0.024107234668381553,0.05541260101049726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,112-419-075-777-708,0.0,0.0,0.0,0.0,0.0,0.0,0.014262411624114707,0.01270653817057767,0.018299030452374368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,115-384-194-385-151,0.0,0.0,0.0,0.0,0.0,0.0,0.00174357476091087,0.017498675109439855,0.029887116132602778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,122-703-378-850-053,0.0,0.0,0.0,0.0,0.0,0.0,0.0558285566221937,0.03104511068630974,0.05756611994946713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,122-817-336-993-887,0.0,0.0,0.0,0.0,0.0,0.0,0.03357219145311037,0.025408376133286302,0.02532494149335747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,127-482-211-718-005,0.0,0.0,0.0,0.0,0.0,0.0,0.03574715377889638,0.03732784199353756,0.008192505307866802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,127-655-016-585-334,0.0,0.0,0.0,0.0,0.0,0.0,0.03157948529814181,0.029617436515120665,0.02911670566242221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,129-190-637-644-62X,0.0,0.0,0.0,0.0,0.0,0.0,0.011742306874082283,0.008351228614923035,0.01891538146997131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,129-518-699-808-841,0.0,0.0,0.0,0.0,0.0,0.0,0.07779320516071864,0.07557979736330947,0.03100308866301111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,135-514-499-218-272,0.0,0.0,0.0,0.0,0.0,0.0,0.07136527271552312,0.052313200575630284,0.04453340367641738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,138-044-330-708-116,0.0,0.0,0.0,0.0,0.0,0.0,0.04642371712647659,0.05427243923325471,0.03689893318389923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,139-017-681-927-137,0.0,0.0,0.0,0.0,0.0,0.0,0.043347387668852294,0.03097075853740884,0.03615317939508514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,146-114-322-954-991,0.0,0.0,0.0,0.0,0.0,0.0,0.017041030126047848,0.029626383247608065,0.061779904358548174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,159-341-018-942-277,0.0,0.0,0.0,0.0,0.0,0.0,0.025018469721168963,0.0012853087800609722,0.018234200601392768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,176-358-336-937-825,0.0,0.0,0.0,0.0,0.0,0.0,0.012881065652791589,0.013905984764542897,0.02728720986161704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,006-920-773-223-354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01957533577460513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,012-629-049-920-451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023049285279137625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,014-482-297-957-834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07908513667777337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,019-513-098-708-289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05520257624187896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,032-707-667-937-548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04070770439241633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,033-709-183-964-289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08254585414625491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,056-146-827-136-55X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02501175125434775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,056-979-885-047-930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03130463117364262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,065-776-954-434-253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02016328482469323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,076-147-310-562-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03055123942629801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,080-833-091-660-82X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04920895846917335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,093-549-532-693-584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02026774987518128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,105-100-051-441-427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03879483568535467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,115-406-999-927-24X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021054823503911586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,120-767-088-360-769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020108446145329396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,138-963-204-270-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288204733957143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,165-166-377-215-209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048991658592436524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,167-707-200-597-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04645354827719229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,169-888-128-565-929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055208197925182235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,174-766-280-588-960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009260608301494269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,185-059-218-401-751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04325518720207327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,002-733-369-145-420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011659873526636003,0.040608992083546014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,010-165-399-327-919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01615488862604559,0.04963969764303382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,013-636-309-273-433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02428937549707044,0.01343290844563975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,013-764-041-525-607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018860944814672265,0.053824661756962794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,014-665-421-131-071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040699859783054994,0.037855941297700826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,032-920-635-083-229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06989066681578163,0.040092937042989815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,033-100-558-536-10X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09160166278585732,0.052747683670895426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,033-140-945-207-53X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042073829846636324,0.03518370638135113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,036-074-742-305-080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048152245256993076,0.04276686503281757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,046-402-144-705-650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08940174074013338,0.07890868618866265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,053-639-636-683-581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036192737037191508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
