,Lens ID,045-388-908-940-286,131-292-364-160-556,116-085-787-369-516,179-132-294-510-213,027-396-266-532-738,060-372-899-346-10X,061-018-838-320-648,007-409-477-173-741,097-421-372-053-520,043-454-317-567-459,046-376-269-492-795,078-881-949-441-033,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,116-509-832-503-46X,063-359-887-330-154,066-382-980-653-77X,036-149-448-029-082,118-102-398-817-762
25,096-969-589-679-820,0.01967977427938143,0.028618651152793773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,097-759-558-650-313,0.0076401528777665035,0.03600972521289208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,098-551-863-329-618,0.04071681929933278,0.016831590288098927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,099-514-033-359-088,0.03007798418786607,0.06723768921618434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,099-651-790-941-367,0.06904782244147947,0.048512606670197134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,100-811-848-186-952,0.01602855816978685,0.044039975723038506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,101-931-016-895-249,0.042653977939649534,0.024836341073226853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,103-743-287-428-874,0.004023263319083125,0.03106473445743587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,104-095-760-090-607,0.021496662367349498,0.028975124953769322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,105-344-783-651-500,0.016125446184148275,0.0111472644458269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,106-258-436-803-499,0.0471169078851123,0.04643568940604691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,108-795-741-054-873,0.01032442892488489,0.04439825080706569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,125-672-379-353-323,0.08058248086176178,0.023006520879902976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
