,Lens ID,063-359-887-330-154,027-396-266-532-738,043-454-317-567-459,060-372-899-346-10X,061-018-838-320-648,066-382-980-653-77X,078-881-949-441-033,097-421-372-053-520,036-149-448-029-082,045-388-908-940-286,046-376-269-492-795,116-509-832-503-46X,007-409-477-173-741,116-085-787-369-516,118-102-398-817-762,025-320-084-599-970,059-611-580-408-33X,062-055-064-561-85X,131-292-364-160-556,179-132-294-510-213
26,110-917-132-699-697,0.013396659091683683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,118-400-153-349-767,0.018535775410715438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,125-672-379-353-323,0.008944503090943107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,127-655-016-585-334,0.0037537330716438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,135-514-499-218-272,0.01648400615902928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,158-139-147-446-223,0.015623350499053737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,164-013-219-239-121,0.01758194205044167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,173-631-094-662-915,0.0182526891521974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,176-358-336-937-825,0.023126696568824046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,185-129-272-793-400,0.0008360670150854005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,191-348-260-799-474,0.022215473175879574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,191-464-698-912-126,0.010404387634427715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,002-227-810-181-405,0.0,0.03724111914819703,0.00965062011535239,0.01656179151273248,0.038046396970662526,0.0595674664643806,0.058106452396108746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,006-948-163-366-774,0.0,0.031805419082378085,0.02460933037288187,0.02065735640808682,0.06778727539354631,0.02451632984592996,0.022610008130355103,0.006905123957265584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,012-629-049-920-451,0.0,0.01854037546805832,0.021499085817523737,0.045591414103348216,0.018523707056352406,0.01020550265225524,0.01953243834896424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,013-594-974-562-515,0.0,0.05589301680968088,0.0,0.027256807869872966,0.07763712021994987,0.010472172429181335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,013-764-041-525-607,0.0,0.019318077534424036,0.0,0.07365183359666465,0.024706461165335307,0.021423317206230405,0.01779747516612426,0.010764220448378154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,013-996-415-887-147,0.0,0.026549441394474498,0.0,0.004107125575706446,0.030050342093376883,0.010996744244848554,0.00546650539389843,0.013449911100906495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,016-780-208-466-573,0.0,0.02817932017766864,0.0,0.006481536355829131,0.022623602640992817,0.061542831493551324,0.006866812631738979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,019-178-979-244-511,0.0,0.06168260470261127,0.029533154383011077,0.015043567205822376,0.049673723949161454,0.03899644680788798,0.01863088832456007,0.018675519140116635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,025-107-741-251-630,0.0,0.02266426357617811,0.03088856026674788,0.0407717382067149,0.026574075818598282,0.03636467886503983,0.0,0.030792102650189952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,026-982-172-464-821,0.0,0.04288414802814064,0.03855077156051632,0.008698253023535376,0.03290896432953307,0.0703385699011971,0.02680684265624032,0.053421303689309654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,030-929-233-804-44X,0.0,0.0349981665631864,0.03032968470889335,0.01782601368349374,0.04463878965643645,0.04309334094926089,0.03750793851317432,0.009483031101244358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,031-650-207-787-672,0.0,0.09044542935876723,0.03317826385104852,0.038226044374803925,0.07995001400688737,0.06586021784506074,0.04082650450339084,0.016772137523734076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,031-740-156-435-499,0.0,0.01988132251511627,0.032009513812813736,0.019824421930555086,0.03508342509054653,0.036131960969381996,0.045468647301054314,0.019149819400588748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,033-140-945-207-53X,0.0,0.0659625118186059,0.0029245814297447735,0.0624149249904407,0.05363627304047787,0.011126375562112528,0.03022093526282168,0.015531873441381225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,033-709-183-964-289,0.0,0.08657214887360293,0.0037966606126375196,0.02442456671755775,0.09192245126193899,0.025172826975771046,0.07968027659267002,0.01406332670586501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,037-377-525-775-574,0.0,0.023222295873869293,0.0,0.0,0.010210887437901566,0.0,0.020120312192387024,0.021585775378377053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,044-198-652-180-16X,0.0,0.04394439567739744,0.0024060267848256445,0.05858842935939876,0.024120288136807555,0.02326924011663336,0.015503808499997655,0.02197098675695759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,046-846-411-960-590,0.0,0.029986099515353765,0.009065813271522973,0.03864032504425148,0.01759977992851539,0.01521353828971643,0.03814917521058165,0.054619909886766405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,051-455-719-730-276,0.0,0.003170420928636756,0.0,0.008663976512300883,0.003471960721960181,0.039656477231987994,0.0,0.01891134941476969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,054-597-134-280-815,0.0,0.06291251273726747,0.008951833216155693,0.041932816916657276,0.015309686442452168,0.015995490629249678,0.014239895146052473,0.06680228861897276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,056-146-827-136-55X,0.0,0.048128414567475866,0.015948461641875394,0.0,0.03465484664241027,0.007101112796631233,0.03494144155966556,0.0013399357192826692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,056-414-859-740-557,0.0,0.038735756004976224,0.02237034519696443,0.013541096328627399,0.0697639964678191,0.01466827531031483,0.0,0.021595308220008845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,056-843-928-028-56X,0.0,0.020768549939439065,0.08664583609752818,0.021209019604635726,0.028858284439476373,0.0,0.0,0.02975135993777043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,057-230-358-061-61X,0.0,0.06668998652317697,0.030189122615446266,0.0265242930999143,0.053309448846613906,0.046549213544895066,0.055465053024109756,0.03905726769800266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,058-201-431-727-742,0.0,0.02133947415467724,0.00942070141022914,0.0,0.039103795609663636,0.002984699910440042,0.0282297174238403,0.002152983731604689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,061-894-521-034-918,0.0,0.03607965230526379,0.04221938106495897,0.007049285928090554,0.01825554952595251,0.00568841081059777,0.08320811496753783,0.019612761635600624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
