,Lens ID,045-388-908-940-286,116-085-787-369-516,063-359-887-330-154,059-611-580-408-33X,062-055-064-561-85X,131-292-364-160-556,036-149-448-029-082,118-102-398-817-762,007-409-477-173-741,025-320-084-599-970,043-454-317-567-459,060-372-899-346-10X,061-018-838-320-648,066-382-980-653-77X,078-881-949-441-033,179-132-294-510-213,027-396-266-532-738,046-376-269-492-795,097-421-372-053-520,116-509-832-503-46X
21,056-709-260-660-68X,0.0,0.03909806181016072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,064-432-781-825-17X,0.0,0.02292074007432469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,065-776-954-434-253,0.030755595517458267,0.0017429759168499442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,067-245-023-581-167,0.043260081123840846,0.041135958378009964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,073-054-463-858-866,0.054817550709703844,0.020062080594722545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,074-500-461-363-345,0.08032299772788248,0.0599111780803278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,076-882-748-116-316,0.051049697108395645,0.04527573133020842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,120-767-088-360-769,0.044704379984260564,0.07804318551200151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,135-514-499-218-272,0.028548767425355948,0.04027602264598491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,176-358-336-937-825,0.08375248605486901,0.0195419780262061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,182-158-356-687-801,0.03183013284006762,0.007212868307784372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,183-733-118-359-209,0.023930565656978278,0.08272333667850366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,185-129-272-793-400,0.03263918837439998,0.014231293667699407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,191-348-260-799-474,0.04156234686674731,0.0203162689819044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,000-189-988-224-76X,0.0,0.0,0.006345793784963708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,006-260-890-457-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,006-920-773-223-354,0.0,0.0,0.0006427367748856759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,008-962-886-761-456,0.0,0.0,0.014673264461699087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,009-175-881-547-438,0.0,0.0,0.0009894023203114051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,013-764-041-525-607,0.0,0.0,0.00923776451613501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,013-996-415-887-147,0.0,0.0,0.0008447059048444035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,018-426-685-841-728,0.0,0.0,0.024035705848430667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,033-555-573-298-315,0.0,0.0,0.02690889543105335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,034-244-957-935-06X,0.0,0.0,0.002700999879089672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,042-553-754-884-249,0.0,0.0,0.0047584659153042125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,050-571-717-599-069,0.0,0.0,0.019677050803683895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,052-670-916-661-239,0.0,0.0,0.008402821849528506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,053-639-636-683-581,0.0,0.0,0.04936992799288882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,056-414-859-740-557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,057-453-531-906-267,0.0,0.0,0.04544514017112766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,062-086-201-884-316,0.0,0.0,0.02591229774124549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,065-723-239-027-836,0.0,0.0,0.0005667590257205846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,068-575-306-450-958,0.0,0.0,0.018386364264854578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,070-541-958-070-965,0.0,0.0,0.006680258350710285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,076-823-648-953-459,0.0,0.0,0.002964876452211831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,078-887-084-126-065,0.0,0.0,0.005954767506255932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,080-752-452-284-07X,0.0,0.0,0.01382228605124973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,082-495-474-227-605,0.0,0.0,0.005909743165427495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,084-598-061-461-73X,0.0,0.0,0.004161577431356391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,085-964-441-290-42X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,098-267-139-915-909,0.0,0.0,0.0052906156207800205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,100-935-111-075-54X,0.0,0.0,0.013670260506599642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,104-095-760-090-607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,104-465-453-188-095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,105-100-051-441-427,0.0,0.0,0.02605471357753203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,108-951-652-767-38X,0.0,0.0,0.0007065202563561007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,110-917-132-699-697,0.0,0.0,0.011714726895669984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,111-417-084-591-248,0.0,0.0,0.004548651689391085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,115-098-299-620-069,0.0,0.0,0.005189475301360655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,124-748-119-715-692,0.0,0.0,0.010837787628870003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,129-190-637-644-62X,0.0,0.0,0.04442100744995322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,132-396-141-682-245,0.0,0.0,0.014660158702694477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,139-017-681-927-137,0.0,0.0,0.00443956569476391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,152-347-604-820-830,0.0,0.0,0.0030055886225439955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,160-606-850-771-257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,164-643-190-599-559,0.0,0.0,0.018818325034905263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,167-707-200-597-186,0.0,0.0,0.008212294908504256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,174-766-280-588-960,0.0,0.0,0.044937942238042955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,185-847-512-601-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,193-381-516-111-686,0.0,0.0,0.00923665774527557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,002-733-369-145-420,0.0,0.0,0.0,0.06064995260085503,0.037858280164142936,0.050927954030667286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,006-687-633-497-865,0.0,0.0,0.0,0.04782067018072662,0.06924393735376538,0.03884025855870115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,013-353-791-759-027,0.0,0.0,0.0,0.020248305986186755,0.07660613073926859,0.026704102679906222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,013-636-309-273-433,0.0,0.0,0.0,0.006362797831477315,0.0611281423492507,0.017913093226061105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,014-665-421-131-071,0.0,0.0,0.0,0.020807138051274446,0.02362440824230084,0.030542561035694415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,016-780-208-466-573,0.0,0.0,0.0,0.015687637108436157,0.0034920117910940238,0.0023996866899839817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,019-513-098-708-289,0.0,0.0,0.0,0.040967911228385265,0.04702051880365449,0.07253960422483802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,033-140-945-207-53X,0.0,0.0,0.0,0.03487310229482653,0.06601413695870348,0.04555977915577891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,033-950-497-342-66X,0.0,0.0,0.0,0.062135795874035955,0.051599047424231756,0.024655796944830832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,034-374-636-579-338,0.0,0.0,0.0,0.06243185526802364,0.09962679445081939,0.08455520619527315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,034-937-628-469-063,0.0,0.0,0.0,0.03847649873442717,0.07931802390122783,0.044936760038427066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,037-935-884-055-847,0.0,0.0,0.0,0.05537667233572525,0.07188033068891844,0.06892125161170372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,038-170-805-379-451,0.0,0.0,0.0,0.002134231858004742,0.0,0.02244626143929071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,038-737-526-962-518,0.0,0.0,0.0,0.03699140253839947,0.03952295249761346,0.0871018912502122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,044-023-593-835-730,0.0,0.0,0.0,0.0383460596433506,0.03001295713035223,0.04444026651200336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,046-402-144-705-650,0.0,0.0,0.0,0.008459667351384922,0.05841780882853592,0.05012482105350422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,046-947-454-102-783,0.0,0.0,0.0,0.04662521040326023,0.08244287889738534,0.009156185926554327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,048-127-750-639-998,0.0,0.0,0.0,0.041665224605355905,0.08322154823604412,0.06109129786624297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,048-970-965-076-466,0.0,0.0,0.0,0.08372570200487042,0.08825217017075161,0.056998369088684206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,051-858-967-360-549,0.0,0.0,0.0,0.0019853069020522654,0.01139541869094104,0.0033556969166059505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,054-076-780-075-898,0.0,0.0,0.0,0.030512217734596298,0.04137154353238996,0.06101522758433707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,056-843-928-028-56X,0.0,0.0,0.0,0.0,0.006743107430282165,0.008055022983127158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,056-979-885-047-930,0.0,0.0,0.0,0.052048352501155526,0.024217421027939896,0.04497972614537149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,057-230-358-061-61X,0.0,0.0,0.0,0.06028049528647402,0.08990760437393142,0.07918928538366844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,057-466-204-899-197,0.0,0.0,0.0,0.03939369750069417,0.0460184649947369,0.06679263988804954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,064-751-648-054-001,0.0,0.0,0.0,0.08371780735662071,0.12912384555095327,0.049071390656194896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,067-195-084-305-016,0.0,0.0,0.0,0.06505819566762067,0.02838949299585331,0.05193296796874918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,071-825-816-424-896,0.0,0.0,0.0,0.03046342206508256,0.023988900376783338,0.032634536922998364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,072-364-355-191-82X,0.0,0.0,0.0,0.02588830837474745,0.08399761093368555,0.018656497939370676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,076-147-310-562-230,0.0,0.0,0.0,0.06446243654991608,0.06850566001800044,0.03722120907127155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,078-012-100-970-29X,0.0,0.0,0.0,0.01444167979568295,0.012696813230453671,0.026363783554664125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,081-472-552-790-009,0.0,0.0,0.0,0.0031486703111805515,0.016593756705399077,0.016624601065235653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,087-931-774-679-603,0.0,0.0,0.0,0.011838499275908902,0.026936300962542483,0.04561513322694197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,088-963-079-143-906,0.0,0.0,0.0,0.0591741406593308,0.04450338334070912,0.022070648588640645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,089-926-127-972-615,0.0,0.0,0.0,0.01174814006839739,0.026754916347402635,0.07946056546891637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,090-891-932-202-646,0.0,0.0,0.0,0.005611814523342135,0.04400094489949566,0.06470173645656677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,093-946-427-403-951,0.0,0.0,0.0,0.0029340239282938485,0.0,0.0070702895436014265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,094-882-702-642-495,0.0,0.0,0.0,0.013975884306293266,0.020091318865387262,0.025251368783196615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,094-974-208-048-309,0.0,0.0,0.0,0.0009135293547702625,0.021889459205371137,0.045960401625710946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,098-551-863-329-618,0.0,0.0,0.0,0.04443986408347059,0.017251084004493916,0.01798032229691063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,099-651-790-941-367,0.0,0.0,0.0,0.06158778081784032,0.0222800031227016,0.04692294578398954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,103-683-153-528-499,0.0,0.0,0.0,0.06952511905439822,0.04418772618024093,0.04056339945458401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,103-743-287-428-874,0.0,0.0,0.0,0.03104206264024764,0.00862376696168677,0.02741947975509095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,108-795-741-054-873,0.0,0.0,0.0,0.002339858680457061,0.0385453070194399,0.036222362321721886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,109-321-719-727-13X,0.0,0.0,0.0,0.03752651869863836,0.07219384049450911,0.04524179862617509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,110-502-601-552-555,0.0,0.0,0.0,0.014029862262901652,0.014820457850274563,0.016637324816154184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,115-406-999-927-24X,0.0,0.0,0.0,0.09096860904288602,0.015848377580929787,0.03852343542616097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,120-465-396-538-465,0.0,0.0,0.0,0.024049743910226195,0.04226995255959212,0.010353042770994738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,122-817-336-993-887,0.0,0.0,0.0,0.05513758687778713,0.022259556580733482,0.021812398568170667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,125-672-379-353-323,0.0,0.0,0.0,0.04236617642617214,0.021100940486337264,0.01977653183356208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,127-482-211-718-005,0.0,0.0,0.0,0.02315921481922539,0.02658069633068557,0.040072977572468554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
