,Lens ID,043-454-317-567-459,046-376-269-492-795,060-372-899-346-10X,066-382-980-653-77X,078-881-949-441-033,027-396-266-532-738,036-149-448-029-082,061-018-838-320-648,063-359-887-330-154,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,097-421-372-053-520,116-085-787-369-516,131-292-364-160-556,179-132-294-510-213,007-409-477-173-741,045-388-908-940-286,116-509-832-503-46X,118-102-398-817-762
27,013-302-417-490-03X,0.018374286053426052,0.016412045727838637,0.002554477349160546,0.0040987534648237985,0.004591917394146956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,013-764-041-525-607,0.0,0.03585266806148977,0.07845592156948278,0.023414473848858024,0.008283606525773334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,017-489-591-364-184,0.0,0.045758525747792204,0.0,0.01800956106103964,0.005322746311107231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,019-178-979-244-511,0.015975455777009154,0.050350872973980165,0.008687344014172383,0.031052745996337883,0.02105262573720866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,025-107-741-251-630,0.03605947256982926,0.02742818355924282,0.041922949359174365,0.03291905391071047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,026-156-970-219-041,0.009946128053064314,0.040117403817433006,0.0403747805337723,0.059611754597674246,0.014295498576375174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,031-650-207-787-672,0.04817825087157298,0.06590984425340334,0.041874136322491824,0.062359109868204365,0.047576107289418086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,032-920-635-083-229,0.0,0.036221986969517,0.0,0.0,0.00666596362284217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,037-935-884-055-847,0.03358522356654066,0.05030223731370696,0.01611373623689425,0.0304627223647443,0.04421223775283096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,039-572-877-788-682,0.010568698801662132,0.003600601538442036,0.009499758077380809,0.01944717372014791,0.0027709808388004815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,039-890-704-429-132,0.007040762912992797,0.046691012012847595,0.016755873209284726,0.011913178941230767,0.01572144519619256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,040-208-896-050-485,0.015789344540278822,0.053076262678276254,0.039257822289271514,0.034941898394833575,0.011753431573099831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,050-418-334-813-530,0.003504879256933327,0.06887671811914614,0.04212927172260811,0.053699695683649545,0.014187524578352671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
