,Lens ID,059-611-580-408-33X,116-509-832-503-46X,046-376-269-492-795,063-359-887-330-154,025-320-084-599-970,066-382-980-653-77X,131-292-364-160-556,179-132-294-510-213,043-454-317-567-459,060-372-899-346-10X,078-881-949-441-033,007-409-477-173-741,062-055-064-561-85X,036-149-448-029-082,027-396-266-532-738,045-388-908-940-286,061-018-838-320-648,118-102-398-817-762,097-421-372-053-520,116-085-787-369-516
25,179-665-467-280-842,0.09684877294240882,0.04424208838198308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,001-254-322-670-872,0.0,0.0,0.012744666231978764,0.00442641889524912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,002-768-931-855-543,0.0,0.0,0.008773425929073438,0.028073525867026872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,013-302-417-490-03X,0.0,0.0,0.017493605433184362,0.025731030296123045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,013-764-041-525-607,0.0,0.0,0.02850476389184045,0.0056111293893715665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,025-107-741-251-630,0.0,0.0,0.036247009251234474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,026-048-467-239-979,0.0,0.0,0.021914416733077334,0.03387637211770282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,028-990-627-361-144,0.0,0.0,0.04608750177156603,0.005450529507867274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,031-740-156-435-499,0.0,0.0,0.02508060231760759,0.005008410416787241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,032-388-474-318-614,0.0,0.0,0.02899238535982015,0.004674136756514622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,034-244-957-935-06X,0.0,0.0,0.029003595793078832,0.0017882250214589406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,034-937-628-469-063,0.0,0.0,0.04416679579019308,0.013921142818137621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,039-890-704-429-132,0.0,0.0,0.03958002497912204,0.0024442503709729228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,043-251-321-340-134,0.0,0.0,0.01399630617498212,0.029985366455385562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,044-023-593-835-730,0.0,0.0,0.04152525218303385,0.02548269641576706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,050-418-334-813-530,0.0,0.0,0.07036023271335091,0.03634297983061895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,056-843-928-028-56X,0.0,0.0,0.003956547275233943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,061-894-521-034-918,0.0,0.0,0.032421175080556856,0.010748591347807115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,068-347-597-479-448,0.0,0.0,0.0213880400724954,0.0024249002339448112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
