Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
003-405-314-929-774,,,1984,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,11,1,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-1984-1,,10.5771/0943-7444-1984-1,,,0,,0
003-430-291-766-734,Redundant indexing languages patterned after the natural language (In German),,1980,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Siegfried Reball,,7,1,10,12,German; Natural language; Computer science; Linguistics; Search engine indexing,,,,,http://dx.doi.org/10.5771/0943-7444-1980-1-10,http://dx.doi.org/10.5771/0943-7444-1980-1-10,,10.5771/0943-7444-1980-1-10,2890889035,,0,,0
003-545-145-561-036,Su bject Analysis in the Library. A Comparative Study,,1981,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Bente Ahlers Moeller,,8,1,23,27,Library science; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-1981-1-23,http://dx.doi.org/10.5771/0943-7444-1981-1-23,,10.5771/0943-7444-1981-1-23,2891210318,,0,,2
003-819-374-945-880,Infoterm News,,1982,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,9,2,101,104,,,,,,,http://dx.doi.org/10.5771/0943-7444-1982-2-101,,10.5771/0943-7444-1982-2-101,,,0,,0
003-970-027-144-722,"Wersig, G.: Thesaurus-Leitfaden (Thesaurus Guideline) (D. Soergel)",,1980,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,7,2,90,91,,,,,,,http://dx.doi.org/10.5771/0943-7444-1980-2-90,,10.5771/0943-7444-1980-2-90,,,0,,0
004-205-732-174-896,P. Rutz: Two-valued and Many-valued Logics (In German) (W. G. Stock),,1984,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,11,2,107,109,,,,,,,http://dx.doi.org/10.5771/0943-7444-1984-2-107,,10.5771/0943-7444-1984-2-107,,,0,,0
004-865-500-526-227,,,1982,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,9,2,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-1982-2,,10.5771/0943-7444-1982-2,,,0,,0
005-594-502-160-833,Loi Mai Chan’s New edition of Immroth’s manual on the Library of Congress Classification,,1980,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Jean M. Perreault,,7,3,126,130,Library of Congress Classification; Library science; Political science,,,,,http://dx.doi.org/10.5771/0943-7444-1980-3-126,http://dx.doi.org/10.5771/0943-7444-1980-3-126,,10.5771/0943-7444-1980-3-126,2892343082,,0,,0
006-998-056-822-098,"G. N. Knight: Indexing, The Art of (Svenonius)",,1980,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,7,3,154,155,,,,,,,http://dx.doi.org/10.5771/0943-7444-1980-3-154,,10.5771/0943-7444-1980-3-154,,,0,,0
008-702-626-149-286,Titelei/Inhaltsverzeichnis,,1981,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,8,1,I,I,,,,,,,http://dx.doi.org/10.5771/0943-7444-1981-1-i,,10.5771/0943-7444-1981-1-i,,,0,,0
009-107-285-832-991,"Infoterm and TermNet. Plans, activities, achievements",,1980,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Helmut Felber,,7,3,140,145,Political science; Public relations,,,,,http://dx.doi.org/10.5771/0943-7444-1980-3-140,http://dx.doi.org/10.5771/0943-7444-1980-3-140,,10.5771/0943-7444-1980-3-140,2890300140,,0,,0
009-304-055-560-938,On the invariance of metrics on Rn under certain families of transformations of Rn (In German),,1981,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Reinhard Dobbener,,8,2,64,68,German; Invariant (physics); Pure mathematics; Mathematics,,,,,http://dx.doi.org/10.5771/0943-7444-1981-2-64,http://dx.doi.org/10.5771/0943-7444-1981-2-64,,10.5771/0943-7444-1981-2-64,2890847005,,0,,0
009-334-638-128-749,INFOTERM NEWS,,1981,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,8,3,155,156,,,,,,,http://dx.doi.org/10.5771/0943-7444-1981-3-155,,10.5771/0943-7444-1981-3-155,,,0,,0
010-110-391-480-291,Toward an integrated thesaurus of the social sciences,,1980,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,J. Litoukhin,,7,2,56,59,Sociology; Library science,,,,,http://dx.doi.org/10.5771/0943-7444-1980-2-56,http://dx.doi.org/10.5771/0943-7444-1980-2-56,,10.5771/0943-7444-1980-2-56,2889778924,,0,,1
010-120-401-807-809,FID/CR News 11,,1984,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,11,2,91,96,,,,,,,http://dx.doi.org/10.5771/0943-7444-1984-2-91,,10.5771/0943-7444-1984-2-91,,,0,,0
010-400-516-668-366,"Nalimov, V. V.: Faces of science (H. Löckenhoff)",,1982,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,9,2,107,108,,,,,,,http://dx.doi.org/10.5771/0943-7444-1982-2-107,,10.5771/0943-7444-1982-2-107,,,0,,0
010-599-767-638-357,How to Make an Index 16th Century Style: Conrad Gessner on Indexes and Catalogs,,1981,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Hans H. Wellisch,,8,1,10,15,Classics; History,,,,,http://dx.doi.org/10.5771/0943-7444-1981-1-10,http://dx.doi.org/10.5771/0943-7444-1981-1-10,,10.5771/0943-7444-1981-1-10,2892310429,,0,,6
010-628-141-053-170,"J. C. Sager, D. Dungworth, P. F. McDonald: English Special Languages (F. Riggs)",,1981,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,8,3,169,171,,,,,,,http://dx.doi.org/10.5771/0943-7444-1981-3-169,,10.5771/0943-7444-1981-3-169,,,0,,0
012-163-080-251-776,B. de Finetti: Probability Theory (In German). (E. Oeser),,1984,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,11,2,103,104,,,,,,,http://dx.doi.org/10.5771/0943-7444-1984-2-103,,10.5771/0943-7444-1984-2-103,,,0,,0
012-493-536-287-147,Reports and Communications,,1981,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,8,3,149,152,,,,,,,http://dx.doi.org/10.5771/0943-7444-1981-3-149,,10.5771/0943-7444-1981-3-149,,,0,,0
012-593-806-205-905,"ICC – Information Coding Classification – principles, structure and application possibilities",,1982,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,I. Dahlberg,,9,2,87,93,Information retrieval; Information coding; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-1982-2-87,http://dx.doi.org/10.5771/0943-7444-1982-2-87,,10.5771/0943-7444-1982-2-87,2891852514,,0,,7
