Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
039-853-427-761-950,"Reflections on Knowledge, Communication and Knowledge Organization",,2015,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Alan Gilchrist,,42,6,456,469,Knowledge organization; Knowledge communication; Computer science; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-2015-6-456,http://dx.doi.org/10.5771/0943-7444-2015-6-456,,10.5771/0943-7444-2015-6-456,2805798803,,0,009-248-538-955-105; 010-571-476-066-737; 013-081-786-072-873; 019-513-098-708-289; 050-405-450-488-904; 061-447-354-060-945; 103-021-552-965-618; 120-826-132-047-225; 122-815-531-903-040; 132-384-476-148-433; 172-421-347-713-046,1
039-890-762-967-334,Bird Skin to Biorepository: Making Materials Matter in the Afterlives of Natural History Collections,,2017,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Adrian Van Allen,,44,7,529,544,Natural history; Anthropology; Biorepository; History,,,,,https://www.nomos-elibrary.de/index.php?doi=10.5771/0943-7444-2017-7-529,http://dx.doi.org/10.5771/0943-7444-2017-7-529,,10.5771/0943-7444-2017-7-529,2778895146,,0,,1
040-063-146-309-545,Index to Volume 40,,2014,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,41,1,97,100,,,,,,,http://dx.doi.org/10.5771/0943-7444-2014-1-97,,10.5771/0943-7444-2014-1-97,,,0,,0
041-162-070-056-288,Index to Volume 43,,2017,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,44,1,75,80,,,,,,,http://dx.doi.org/10.5771/0943-7444-2017-1-75,,10.5771/0943-7444-2017-1-75,,,0,,0
042-350-593-084-16X,Theories are Knowledge Organizing Systems (KOS),,2015,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Birger Hjørland,,42,2,113,128,Cognitive science; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-2015-2-113,http://dx.doi.org/10.5771/0943-7444-2015-2-113,,10.5771/0943-7444-2015-2-113,2806883999,,0,001-758-919-086-424; 002-775-604-612-11X; 006-158-155-203-573; 008-329-227-042-008; 009-034-088-711-723; 010-387-674-493-027; 017-349-318-774-487; 038-764-616-896-060; 041-049-773-563-310; 045-283-355-051-671; 049-372-878-840-004; 050-490-361-541-725; 050-836-788-872-027; 054-431-273-569-723; 061-130-225-905-192; 069-141-830-096-500; 073-575-960-944-865; 073-907-927-657-993; 085-144-092-900-483; 091-832-987-418-897; 107-304-297-992-963; 109-224-218-155-378; 109-427-771-721-443; 117-033-387-098-923; 133-240-467-077-913; 150-115-018-236-425; 151-115-659-591-714; 152-638-811-043-763; 156-207-829-763-786; 161-655-862-949-400; 166-831-182-428-195; 184-311-342-296-800; 186-002-435-783-417; 188-277-025-147-034; 189-997-715-153-118; 197-791-244-262-890,8
043-179-651-415-967,The Case for Taxonomic Reparations,,2016,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Melissa Adler,,43,8,630,640,Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-2016-8-630,http://dx.doi.org/10.5771/0943-7444-2016-8-630,,10.5771/0943-7444-2016-8-630,2801138046,,0,,6
043-454-317-567-459,Phenomena or noumena?Objective and subjective aspects in knowledge organization,2016-05-01,2016,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Riccardo Ridi,"This article examines the main objective and subjective aspects traceable in the concepts of information, document, knowledge, knowledge organization and level of reality. The hypothesis of the author is that objective and subjective aspects are both present in each of these entities, as it is sometimes implicitly recognized even by some of the authors that usually underline exclusively the objective or the subjective elements of these entities. ""Moderate constructivism"" is the synthesis of objectivism and subjectivism that consists in recognizing that reality is neither completely ""given"" nor completely ""built"" and it constitutes (beyond too marked pseudo-oppositions) the paradigm today de facto dominant both in epistemology studies and in knowledge organization studies.",43,4,239,253,Epistemology; Constructivism (philosophy of education); Sociology; Knowledge organization; Underline; De facto; Subjectivism; Objectivism,,,,,https://iris.unive.it/handle/10278/3673434 https://core.ac.uk/display/53185225 http://eprints.rclis.org/29408/,http://dx.doi.org/10.5771/0943-7444-2016-4-239,,10.5771/0943-7444-2016-4-239,2418129219,,0,,0
043-630-317-605-363,What Scheme Do We Prefer? An Examination of Preference Between Library of Congress and Dewey Decimal Classification Among U.S.-Based Academic Library Employees,,2018,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Brady D. Lund; Daniel A. Agbaji,,45,5,380,392,Dewey Decimal Classification; Sociology; Library science; Library of congress; Academic library,,,,,http://dx.doi.org/10.5771/0943-7444-2018-5-380,http://dx.doi.org/10.5771/0943-7444-2018-5-380,,10.5771/0943-7444-2018-5-380,2898396499,,0,,1
043-791-273-248-735,,,2014,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,41,3,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-2014-3,,10.5771/0943-7444-2014-3,,,0,,0
044-248-216-657-50X,,,2018,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,45,8,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-2018-8,,10.5771/0943-7444-2018-8,,,0,,0
