Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
001-293-329-888-964,F. Bartelt: Authority lists for the assignment of subject headings (I. Dahlberg),,1979,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,6,3,187,187,,,,,,,http://dx.doi.org/10.5771/0943-7444-1979-3-187,,10.5771/0943-7444-1979-3-187,,,0,,0
001-763-825-075-165,Studien zur allgemeinen Ordnungslehre. I,,1974,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Alwin Diemer,,1,2,61,68,,,,,,http://dx.doi.org/10.5771/0943-7444-1974-2-61,http://dx.doi.org/10.5771/0943-7444-1974-2-61,,10.5771/0943-7444-1974-2-61,2892327173,,0,,0
001-798-785-843-501,Deutscher Dokumentartag 1977. („Intentions and methods of indexing“) (O. Sechser),,1978,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,5,3,178,179,,,,,,,http://dx.doi.org/10.5771/0943-7444-1978-3-178,,10.5771/0943-7444-1978-3-178,,,0,,0
006-385-209-392-26X,Lancaster: Vocabulary Control ... (D. Soergel),,1975,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,2,1,51,54,,,,,,,http://dx.doi.org/10.5771/0943-7444-1975-1-51,,10.5771/0943-7444-1975-1-51,,,0,,0
006-620-125-685-134,Citation codes in classification and terminology,,1978,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Ingetraut Dahlberg,,5,2,91,92,Artificial intelligence; Natural language processing; Citation; Computer science; Terminology,,,,,http://dx.doi.org/10.5771/0943-7444-1978-2-91,http://dx.doi.org/10.5771/0943-7444-1978-2-91,,10.5771/0943-7444-1978-2-91,2892007375,,0,,0
006-737-212-635-919,"Bausch, K.-J., Schewe, W. H. U., Spiegel, H.-R.: Fachsprachen (I. Dahlberg)",,1976,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,3,2,115,115,,,,,,,http://dx.doi.org/10.5771/0943-7444-1976-2-115,,10.5771/0943-7444-1976-2-115,,,0,,0
008-450-103-625-935,Titelei/Inhaltsverzeichnis,,1979,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,6,3,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1979-3-i,,10.5771/0943-7444-1979-3-i,,,0,,0
009-404-435-531-563,Infoterm News,,1979,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,6,3,181,183,,,,,,,http://dx.doi.org/10.5771/0943-7444-1979-3-181,,10.5771/0943-7444-1979-3-181,,,0,,0
010-128-737-474-338,Book Reviews,,1974,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,1,2,101,108,,,,,,,http://dx.doi.org/10.5771/0943-7444-1974-2-101,,10.5771/0943-7444-1974-2-101,,,0,,0
010-499-038-468-337,Titelei/Inhaltsverzeichnis,,1978,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,5,2,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1978-2-i,,10.5771/0943-7444-1978-2-i,,,0,,0
010-659-997-017-54X,Compilation of Thesaurus and Total Index of „Nihon Kagaku-Gijutsu-Shi Takei“ and Analysis of its Documents,,1975,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Tetsuo Tomita; Kazutoshi Hattori,,2,1,11,21,Library science; History,,,,,http://dx.doi.org/10.5771/0943-7444-1975-1-11,http://dx.doi.org/10.5771/0943-7444-1975-1-11,,10.5771/0943-7444-1975-1-11,2891979074,,0,,0
011-567-847-261-713,Development of a Broad System of Ordering for UNISIST Purposes,,1974,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Vladimir Rybatchenkov,,1,1,20,21,Systems engineering; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-1974-1-20,http://dx.doi.org/10.5771/0943-7444-1974-1-20,,10.5771/0943-7444-1974-1-20,2891192308,,0,,0
011-743-923-913-518,What is your opinion?,,1976,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,3,2,65,65,,,,,,,http://dx.doi.org/10.5771/0943-7444-1976-2-65,,10.5771/0943-7444-1976-2-65,,,0,,0
012-238-904-088-179,"Dewey, die Klassifikationen und das semantische Universum (Dewey, classification schemes and the semantic universe)",,1976,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Francesco s. Chiapetti; Alfredo Serrai,,3,1,7,10,Dewey Decimal Classification; Philosophy; Linguistics; Universe,,,,,http://dx.doi.org/10.5771/0943-7444-1976-1-7,http://dx.doi.org/10.5771/0943-7444-1976-1-7,,10.5771/0943-7444-1976-1-7,2891990692,,0,,0
014-485-455-613-943,Towards a geometry of basic concepts,,1979,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Wolfgang Dahlberg,,6,2,73,84,Geometry; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-1979-2-73,http://dx.doi.org/10.5771/0943-7444-1979-2-73,,10.5771/0943-7444-1979-2-73,2891590080,,0,,0
