Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
000-251-444-646-256,Electronic media and visual knowledge,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Kim H. Veltman,"The real challenge of today lies in exploring how computers will enable us to do what was not possible previously. The paper attempts to provoke thought about new frontiers of visual knowledge organization. Computers introduce the possibility of interchangeable media. They offer multiple nodes of access to a given term or object. They enable us to approach knowledge on different levels. A scheme of 10 levels is proposed and some consequences for visual knowledge at each of these levels is considered briefly. The final section of the paper considers four navigational tools: questions, maps, meters, and tracking",20,1,47,54,Navigational instrument; Human–computer interaction; Electronic media; Artificial intelligence; Cognition; Information access; Knowledge organization; Computer science; Typology,,,,,http://dx.doi.org/10.5771/0943-7444-1993-1-47 http://cat.inist.fr/?aModele=afficheN&cpsidt=4925135,http://dx.doi.org/10.5771/0943-7444-1993-1-47,,10.5771/0943-7444-1993-1-47,2495233361,,0,188-563-904-203-247,1
000-417-823-324-035,Organiization of substantive scientific knowledge,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Victor F. Zhuravlev,,20,4,195,196,Sociology; Sociology of scientific knowledge; Engineering ethics,,,,,http://dx.doi.org/10.5771/0943-7444-1993-4-195,http://dx.doi.org/10.5771/0943-7444-1993-4-195,,10.5771/0943-7444-1993-4-195,2888592877,,0,,0
002-768-931-855-543,HYPERICONICS: Hypertext and the social construction of information about the history of artistic notions,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Gerhard Jan Nauta,"Some 25 years ago the Leiden art historian Van de Waal, inventor of ICONCLASS, developed an icon knowledge system called Beeldleer. After a brief review of this system the author does borrow some central ideas of Beeldleer to discuss a method of studying historically the elementary means of artistic expression with the use of hypertext concepts. The potential of a social construction of information in this field is being emphasized. Finally the design of a pilot study in an educational context will be discussed",20,1,35,46,Sociology; Visual arts; Hypertext; Content analysis; Social constructionism; Information system; Lien; History of art; Icon,,,,,http://dx.doi.org/10.5771/0943-7444-1993-1-35 http://cat.inist.fr/?aModele=afficheN&cpsidt=4925075,http://dx.doi.org/10.5771/0943-7444-1993-1-35,,10.5771/0943-7444-1993-1-35,2505692266,,0,,0
004-030-294-061-506,"Fugmann, R. (Ed.): Tools for Knowledge Organization and the Human Interface (P. A. Cochrane)",,1993,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,20,4,231,231,,,,,,,http://dx.doi.org/10.5771/0943-7444-1993-4-231,,10.5771/0943-7444-1993-4-231,,,0,,0
007-767-847-749-446,The data structure of the VINITI “Computer Networks“ information file,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Valentina M. Efremenkova; Nikolai Milovidov,,20,4,208,209,Data structure; Computer network; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-1993-4-208,http://dx.doi.org/10.5771/0943-7444-1993-4-208,,10.5771/0943-7444-1993-4-208,2888175028,,0,,0
008-442-365-852-820,Public knowledge as a mosaic of computing and cooperating systems,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Arkadi V. Sokolov,,20,4,193,193,Mosaic; Public knowledge; Computer science; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-1993-4-193,http://dx.doi.org/10.5771/0943-7444-1993-4-193,,10.5771/0943-7444-1993-4-193,2888242854,,0,,0
013-996-415-887-147,Terminological research in the former USSR,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Sergey V.Grinev,"Outlines in short the history of terminology in the former USSR from the thirties to the nineties and draws a picture of terminolobical research activities using statistics of terminology dissertations in chronological order (by five and ten year cumulations) with regard to their correspondence to scientific and technical disciplines/subject areas, languages and fields of terminology science itself with an analysis of the latter's findings. Concludingly seven proposals for the development of a theory of terminology are made stressing the need for the establishment of regional research centers and co-ordination of activities",20,3,150,159,Sociology; Library science; Follow up studies; Subject areas; Operations research; Terminology; Scientific method,,,,,http://cat.inist.fr/?aModele=afficheN&cpsidt=3818756 http://dx.doi.org/10.5771/0943-7444-1993-3-150,http://dx.doi.org/10.5771/0943-7444-1993-3-150,,10.5771/0943-7444-1993-3-150,2475052119,,0,,0
014-814-111-971-91X,Knowledge organization levels for computerized information systems,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Olga Lavrenova,,20,4,207,207,Information system; Knowledge organization; Computer science; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-1993-4-207,http://dx.doi.org/10.5771/0943-7444-1993-4-207,,10.5771/0943-7444-1993-4-207,2888662664,,0,,0
017-123-400-020-623,Knowledge Organization in Russia: Problem-relalted and historical aspects,,1993,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Eduard S.Sukiasyan,,20,4,189,191,Political science; Knowledge organization; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-1993-4-189,http://dx.doi.org/10.5771/0943-7444-1993-4-189,,10.5771/0943-7444-1993-4-189,2888761439,,0,,2
017-169-515-740-712,Titelei/Inhaltsverzeichnis,,1993,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,20,4,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1993-4-i,,10.5771/0943-7444-1993-4-i,,,0,,0
