Lens ID,097-421-372-053-520,116-509-832-503-46X,043-454-317-567-459,036-149-448-029-082,062-055-064-561-85X,061-018-838-320-648,179-132-294-510-213,078-881-949-441-033,116-085-787-369-516,046-376-269-492-795,066-382-980-653-77X,027-396-266-532-738,025-320-084-599-970,118-102-398-817-762,131-292-364-160-556,060-372-899-346-10X,059-611-580-408-33X,007-409-477-173-741,045-388-908-940-286,063-359-887-330-154,Lens ID
013-764-041-525-607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030712797316067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,013-764-041-525-607
024-276-265-590-973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0761403297123946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,024-276-265-590-973
032-707-667-937-548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253459766990587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,032-707-667-937-548
034-374-636-579-338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304765762576551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,034-374-636-579-338
044-198-652-180-16X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302710569896634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,044-198-652-180-16X
046-947-454-102-783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425806431004661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,046-947-454-102-783
048-107-503-236-974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306163515524579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,048-107-503-236-974
053-719-795-895-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499255515586478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,053-719-795-895-127
056-146-827-136-55X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007156852780602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,056-146-827-136-55X
057-466-204-899-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0645827401695436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,057-466-204-899-197
067-195-084-305-016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230885851855187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,067-195-084-305-016
067-245-023-581-167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357031290079671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,067-245-023-581-167
068-347-597-479-448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434674968405678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,068-347-597-479-448
073-054-463-858-866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022948723786272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,073-054-463-858-866
074-632-781-234-90X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192379459700119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,074-632-781-234-90X
077-954-762-700-03X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368706920227657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,077-954-762-700-03X
090-891-932-202-646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425229105435889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,090-891-932-202-646
109-321-719-727-13X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322859298192415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109-321-719-727-13X
110-502-601-552-555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250077950821838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110-502-601-552-555
111-417-084-591-248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312296632346432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111-417-084-591-248
115-384-194-385-151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083841455780207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115-384-194-385-151
118-400-153-349-767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446468913890372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118-400-153-349-767
129-809-003-331-783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406156465291056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129-809-003-331-783
132-693-568-339-041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0258305185669226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132-693-568-339-041
138-254-519-618-953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581539854023522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138-254-519-618-953
154-969-566-820-758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262266049529528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154-969-566-820-758
165-093-106-271-191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681272452520351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165-093-106-271-191
169-888-128-565-929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169-888-128-565-929
180-658-270-170-05X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005302557440386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180-658-270-170-05X
001-254-322-670-872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153427563843454,0.0525639181816325,0.0532092709496257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001-254-322-670-872
006-948-163-366-774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072941317009942,0.0210163619810573,0.0281591311750564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,006-948-163-366-774
013-302-417-490-03X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0170954136172476,0.0032633690971068,0.0354575118713386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,013-302-417-490-03X
013-996-415-887-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093240189884981,0.0052410448528649,0.0185044600465415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,013-996-415-887-147
030-902-854-635-052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079709063256269,0.0383362724765764,0.0469231496105712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,030-902-854-635-052
